date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:36	519/519	---MCZ	200	added ('OK')	text/plain	etag:%22cacheable:7439382e33578388a7d1dec0894c2f6c%22	https://www.ergonewtral.com/robots.txt		(from )
11:40:37	175486/175486	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:1f300560b68af18550531bf058d80462%22	https://www.ergonewtral.com/	/Users/admin/websites/yizi/www.ergonewtral.com/index.html	(from )
11:40:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:40:37%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/assets/global.js?v=24850326154503943211657593649	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/global.093c1.delayed	(from https://www.ergonewtral.com/)
11:40:39	32127/32127	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2009%20Aug%202023%2002:08:19%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/assets/global.js?v=24850326154503943211657593649	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/assets/global93c1.js	(from https://www.ergonewtral.com/)
11:40:40	78155/78155	---MCZ	404	error ('Not%20Found')	text/html	etag:%22cacheable:05872cd5f46d2696400a86c3e521f4f8%22	https://www.ergonewtral.com/GET	/Users/admin/websites/yizi/www.ergonewtral.com/GET	(from https://www.ergonewtral.com/)
11:40:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:40:41%20GMT	http://www.ergonewtral.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-6ad832dfb33d267eb5f892acb8c16c6c291694632098e7307cb0cf79497d576b.js	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-6ad832dfb33d267eb5f892acb8c16c6c291694632098e7307cb0cf79497d576b.js	(from https://www.ergonewtral.com/)
11:40:42	12184/12184	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2011%20Aug%202023%2014:29:29%20GMT	https://www.ergonewtral.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-6ad832dfb33d267eb5f892acb8c16c6c291694632098e7307cb0cf79497d576b.js	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-6ad832dfb33d267eb5f892acb8c16c6c291694632098e7307cb0cf79497d576b.js	(from https://www.ergonewtral.com/)
11:40:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:40:43%20GMT	http://www.ergonewtral.com/cdn/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://www.ergonewtral.com/)
11:40:44	37632/37632	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2017%20Aug%202023%2021:04:41%20GMT	https://www.ergonewtral.com/cdn/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://www.ergonewtral.com/)
11:40:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Aug%202023%2003:40:45%20GMT	http://www.ergonewtral.com/cdn/shop/t/1/compiled_assets/scripts.js?160	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/compiled_assets/scriptsb73c.js	(from https://www.ergonewtral.com/)
11:40:46	7472/7472	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2006%20Jul%202023%2020:10:33%20GMT	https://www.ergonewtral.com/cdn/shop/t/1/compiled_assets/scripts.js?160	/Users/admin/websites/yizi/www.ergonewtral.com/cdn/shop/t/1/compiled_assets/scriptsb73c.js	(from https://www.ergonewtral.com/)
